transaction_id,politician,ticker,transaction_type,owner,asset_type,amount_mid,log_amount_mid,disclosure_delay_days,ou_zscore,filing_date,excess_return_30d,beat_market_30d
7779,Susan M Collins,GS,Sale (Full),Spouse,,8000.5,8.987384303086046,8,0.08963396433278134,2014-06-27,0.044372506560168334,1
7783,Susan M Collins,C,Sale (Full),Spouse,,8000.5,8.987384303086046,8,-0.6706280956676618,2014-06-27,0.03683237632270253,1
7785,Susan M Collins,BMY,Sale (Full),Spouse,,8000.5,8.987384303086046,8,0.7265350128584841,2014-06-27,0.011131130459289595,1
7710,Sheldon Whitehouse,BMY,Purchase,Joint,,8000.5,8.987384303086046,2,-0.03523547841616605,2014-07-17,0.021148124927444778,1
7711,Sheldon Whitehouse,AMZN,Sale (Full),Joint,,32500.5,10.389041521098926,23,1.0967720811265431,2014-07-17,-0.05790290971681511,0
7713,Sheldon Whitehouse,AMGN,Purchase,Child,,8000.5,8.987384303086046,7,-1.1593486967307105,2014-07-17,0.17928844376833863,1
7714,Sheldon Whitehouse,EMR,Sale (Full),Child,,8000.5,8.987384303086046,7,-0.23026091535765125,2014-07-17,-0.06324464721004786,0
7719,Sheldon Whitehouse,VFC,Sale (Partial),Self,,8000.5,8.987384303086046,29,-0.6660096075070792,2014-07-17,0.01340349207840652,1
7707,Pat Roberts,AAPL,Sale (Full),Spouse,,75000.5,11.22526339231845,46,0.26988499539491706,2014-07-22,0.03294792164250726,1
7708,Pat Roberts,F,Sale (Full),Spouse,,8000.5,8.987384303086046,46,0.86569978048452,2014-07-22,-0.031245330253056314,0
7701,Pat Roberts,SBUX,Sale (Full),Spouse,,8000.5,8.987384303086046,20,0.4091571910863295,2014-07-23,-0.0329226823249823,0
7702,Pat Roberts,IBM,Sale (Full),Spouse,,32500.5,10.389041521098926,20,1.2238676930488126,2014-07-23,-0.02313902022769465,0
7706,Pat Roberts,NFLX,Sale (Full),Spouse,,75000.5,11.22526339231845,16,-0.5629784908140829,2014-07-23,0.0967235887128719,1
7677,Pat Roberts,AAPL,Purchase,Spouse,,8000.5,8.987384303086046,11,0.0415456681360523,2014-08-12,0.029069186938192493,1
7678,Pat Roberts,AAPL,Purchase,Spouse,,8000.5,8.987384303086046,13,0.0415456681360523,2014-08-12,0.029069186938192493,1
7640,Susan M Collins,BIIB,Sale (Full),Spouse,,8000.5,8.987384303086046,22,0.6505416553448783,2014-08-14,-0.021228184052820342,0
7644,Susan M Collins,DAL,Sale (Full),Spouse,,8000.5,8.987384303086046,22,0.6361879071199565,2014-08-14,-0.05989010955944363,0
7650,Susan M Collins,GE,Sale (Full),Spouse,,8000.5,8.987384303086046,22,0.3849005652948759,2014-08-14,-0.02059174456763402,0
7656,Susan M Collins,JNJ,Purchase,Spouse,,8000.5,8.987384303086046,22,0.46010624494041646,2014-08-14,0.03886242723865174,1
7615,Pat Roberts,COST,Sale (Full),Spouse,,8000.5,8.987384303086046,7,1.2119219234705958,2014-09-02,0.1029355303875854,1
7617,Pat Roberts,BAC,Sale (Partial),Spouse,,8000.5,8.987384303086046,7,1.2834647720317898,2014-09-02,0.07971944252647645,1
7618,Pat Roberts,AAPL,Sale (Full),Spouse,,32500.5,10.389041521098926,7,1.266752475571599,2014-09-02,0.02030724436601694,1
7598,Cory A Booker,IBM,Sale (Full),Self,,8000.5,8.987384303086046,30,0.2566216563023216,2014-09-07,-0.05935663343998132,0
7600,Cory A Booker,AMZN,Sale (Full),Self,,8000.5,8.987384303086046,30,0.7217222493893827,2014-09-07,-0.054239739121832886,0
7601,Cory A Booker,AAPL,Sale (Full),Self,,8000.5,8.987384303086046,30,-0.15503563659203465,2014-09-07,0.06553208004034972,1
7606,Cory A Booker,NFLX,Sale (Full),Self,,32500.5,10.389041521098926,30,0.23685115757378472,2014-09-07,-0.199280299551847,0
7562,Sheldon Whitehouse,SLB,Sale (Full),Joint,,32500.5,10.389041521098926,16,-1.050759797962807,2014-09-19,-0.048868123654872586,0
7566,Sheldon Whitehouse,BMY,Purchase,Child,,8000.5,8.987384303086046,1,0.5937278168004018,2014-09-19,0.1249002746214154,1
7567,Sheldon Whitehouse,CVS,Purchase,Child,,8000.5,8.987384303086046,1,0.4522674081114274,2014-09-19,0.04978220698471847,1
7569,Sheldon Whitehouse,SLB,Sale (Full),Child,,32500.5,10.389041521098926,3,-1.050759797962807,2014-09-19,-0.048868123654872586,0
7573,Sheldon Whitehouse,VZ,Purchase,Self,,8000.5,8.987384303086046,1,1.1123424343221424,2014-09-19,-0.00676935919342081,0
7560,John Hoeven,PEP,Purchase,Self,,175000.5,12.072549824297488,27,0.8356256089191123,2014-09-22,0.010887633455986645,1
7550,Pat Roberts,AAPL,Sale (Full),Spouse,,8000.5,8.987384303086046,33,-0.3063091646718587,2014-10-06,0.10308449472320125,1
7551,Pat Roberts,AAPL,Purchase,Spouse,,8000.5,8.987384303086046,34,-0.3063091646718587,2014-10-06,0.10308449472320125,1
7552,Pat Roberts,NFLX,Purchase,Spouse,,32500.5,10.389041521098926,14,0.1917433184301344,2014-10-06,-0.21881959326915046,0
7553,Pat Roberts,AAPL,Purchase,Spouse,,8000.5,8.987384303086046,24,-0.3063091646718587,2014-10-06,0.10308449472320125,1
7554,Pat Roberts,NFLX,Purchase,Spouse,,32500.5,10.389041521098926,24,0.1917433184301344,2014-10-06,-0.21881959326915046,0
7555,Pat Roberts,NFLX,Purchase,Spouse,,32500.5,10.389041521098926,34,0.1917433184301344,2014-10-06,-0.21881959326915046,0
7540,John Hoeven,BA,Sale (Full),Self,,175000.5,12.072549824297488,23,-0.7939580827235453,2014-10-22,0.003578540484572068,1
7541,John Hoeven,ABBV,Sale (Full),Self,,175000.5,12.072549824297488,23,0.3213016518389075,2014-10-22,0.1449817565807241,1
7542,John Hoeven,SBUX,Purchase,Self,,175000.5,12.072549824297488,23,0.21272142678157638,2014-10-22,0.01225681174531501,1
7524,Sheldon Whitehouse,SBUX,Purchase,Child,,8000.5,8.987384303086046,14,1.6068365198504382,2014-10-28,0.04886954361598228,1
7525,Sheldon Whitehouse,SBUX,Purchase,Child,,8000.5,8.987384303086046,26,1.6068365198504382,2014-10-28,0.04886954361598228,1
7527,Sheldon Whitehouse,BMY,Purchase,Joint,,8000.5,8.987384303086046,14,2.223769793465199,2014-10-28,0.06978657420491174,1
7533,Sheldon Whitehouse,M,Purchase,Self,,8000.5,8.987384303086046,26,-0.11038624899029918,2014-10-28,0.0343799145232726,1
7500,John Hoeven,CSCO,Purchase,Self,,175000.5,12.072549824297488,20,1.4480307766169038,2014-11-18,0.03855378290465494,1
7501,Sheldon Whitehouse,PEP,Purchase,Joint,,8000.5,8.987384303086046,5,1.0631099730217024,2014-11-18,-0.03515231407559316,0
7502,Sheldon Whitehouse,T,Sale (Partial),Joint,,32500.5,10.389041521098926,5,1.586011204708596,2014-11-18,-0.051207819037825786,0
7504,Sheldon Whitehouse,PRU,Purchase,Joint,,8000.5,8.987384303086046,5,-0.5368288905832412,2014-11-18,0.07332195253675544,1
7505,Sheldon Whitehouse,M,Purchase,Joint,,8000.5,8.987384303086046,5,1.423535618418169,2014-11-18,0.06958306282060223,1
7506,Sheldon Whitehouse,DHR,Sale (Full),Joint,,8000.5,8.987384303086046,8,1.118886838517553,2014-11-18,0.038607606847895104,1
